Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
3.6875000000,3.7500000000,5950.0000000000,1382.8475562609,487.2306176303,931.8797874711,610.8059004132,252.2563208641,648.0347707927,663.3095574468,716.1787486375,262.5390694188,238.7067750419,147.2484692395,200.1902895258,173.4846375417,168.8914936766,178.3650282493,110.0000000000,,,
3.7500000000,3.8125000000,1344.0000000000,670.2540040651,971.1087055747,754.1173838207,490.4896755081,574.3559539962,312.5199947774,1091.9689410519,734.5883200814,124.0707902030,93.8651469871,36.2391933953,67.4379583022,64.9986868590,24.4227148854,16.1846201121,2.0000000000,,,
3.8125000000,3.8750000000,3162.0000000000,337.0692171750,1124.9869763572,680.8124293241,721.0591203896,402.2755571610,436.1897174589,734.2476809194,759.1626966599,336.5653858397,247.7922022627,274.9221634268,192.6492795287,144.3443828306,150.8040381011,178.4817703370,110.0000000000,,,
3.8750000000,3.9375000000,5444.0000000000,358.2803589124,809.5865258883,487.8063094913,701.8076672761,558.2518709819,80.2697258737,697.0105905739,579.1614628064,225.5370212854,153.4051660338,122.3814864313,73.4438435302,51.9091807831,54.5644870071,53.2966675323,46.0000000000,,,
3.9375000000,4.0000000000,4776.0000000000,623.5033638120,404.6150210258,459.9736517559,743.9795504602,363.5922145606,826.8142728597,843.9809147244,771.2249995948,260.3621084060,110.4462246035,46.7347378448,49.5421890624,59.7093557934,52.3304349932,53.3192433650,26.0000000000,,,
4.0000000000,4.0625000000,6426.0000000000,251.7228541962,809.0795030894,928.7650924797,551.9616643239,168.1981731522,222.6370227648,1027.8614095497,694.0432263195,239.5047699556,110.7485226631,165.6820982397,87.0994897622,70.7827569003,78.6249229125,71.7357218563,62.0000000000,,,
4.0625000000,4.1250000000,3808.0000000000,401.2200569397,1183.4733165027,890.6612626546,691.1324210038,356.0158589724,339.4066289761,513.2737661453,846.8341041786,293.1332540585,156.9172562366,215.1722430629,112.4632234882,92.1654522358,96.4314472996,72.0767705812,68.0000000000,,,
4.1250000000,4.1875000000,3674.0000000000,1185.0494997915,396.9767177408,509.9159960072,571.3236641702,148.7667543445,376.1311959707,919.3298677123,904.6037806686,242.9833470198,169.7834608075,96.2697906727,156.8096641128,140.4248529920,124.5647840508,113.5450938217,76.0000000000,,,
4.1875000000,4.2500000000,2027.0000000000,917.7794752706,753.1370784389,164.9931158189,675.5171100270,293.3597095471,486.9109848498,970.1118604057,487.2555797526,160.4835564378,110.0986680457,29.7463483830,60.1384574196,46.1174472541,31.8200755457,40.0316068705,23.0000000000,,,
4.2500000000,4.3125000000,2366.0000000000,616.6177077575,1262.5605204775,1131.5729480837,968.0367251644,232.3913950507,452.4360787120,610.2533724778,552.1304193757,181.0546114503,144.2517716941,83.1615628143,36.8903609766,36.7569048582,20.4439031099,7.3917940316,18.0000000000,,,
